Start : 2025-03-25T15:38:52.506Z
Connection established 
data={"name":"Лист 1,0; 304S; 1250х2500","techUnits":"м2","techToAcc":7.85,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 1,0; 304S; 1000х2000","techUnits":"м2","techToAcc":7.85,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 1,2; 304S; 1250х2500","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 1,5; 304S; 1250х2500","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 1,5; 304S; 1000х2000","techUnits":"м2","techToAcc":11.78,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 2; 304S; 1250х2500","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 3; 304S; 1250х2500","techUnits":"м2","techToAcc":23.55,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 5; 304S; 1500х6000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 6; 304S; 1500х6000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 8; 304S; 1500х6000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Лист 10; 304S; 1500х6000","techUnits":"м2","techToAcc":0,"accUnits":"кг","price":170,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Бетон СБС-1250","techUnits":"кг","techToAcc":1,"accUnits":"кг","price":50,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Бетон СБСЛ-1000","techUnits":"м3","techToAcc":1000,"accUnits":"кг","price":66,"weightTech":null}	ItemName validation failed: weight: Path `weight` is required.
data={"name":"Бетон вогнетривкий ГЦ-40","techUnits":"м3","techToAcc":1,"accUnits":"м3","price":0,"weightTech":0}	ItemName validation failed: weight: Path `weight` is required.
